id,name,star,type,comments,hours,map_url,latlon,image
42,Asian Bodega,,"Restaurant, Bakery",Goes off at night at times.,"Sunday		6–10:30PM
Monday		6–10:30PM
Tuesday		6–11PM
Wednesday	Closed
Thursday	6–10:30PM
Friday		6–10:30PM
Saturday	6–10:30PM",https://goo.gl/maps/NjZrWiAreCQRWapx6,"20.20614338242074, -87.4784341635345",42.jpg
30,Banco Azteca,,"ATM, Bank","Small max withdrawal limits from the single ATM.  (ATM works 24 hours.)  Currently 6k pesos.  (About $300 USD.). Recommended to go to HSBC in town.  There you can pull up to 15k in one pop, and do multiple withdrawals back-to-back-to-back.  The middle ATM at HSBC also dispenses USD.  There are also a lot of ATMs inside Chedraui, for instance Citibank and BaNorte (lowest two withdrawal fees at under $2 each.). Note:  Don’t be surprised if many ATMs are empty on Monday mornings or after long / holiday weekends.  Also, highly recommend travelers use the Charles Schwab Invest First Visa.  No ATM fees, and they reimburse you all ATM fees you incur abroad.  Amazing.  Not to mention if you deny the exchange conversion on an ATM, allowing Schwab to do the conversion, you’ll get the mid-market rate, which is what you see on XE.com.  If you hit the “accept exchange rate” on an ATM, you’re getting robbed around 5.5%.","Sunday		9AM–9PM
Monday		9AM–9PM
Tuesday		9AM–9PM
Wednesday	9AM–9PM
Thursday	9AM–9PM
Friday		9AM–9PM
Saturday	9AM–9PM",https://goo.gl/maps/tYwBtdDW4xiirHAv6,"20.208389241668677, -87.47125625582122",30.jpg
27,Barberos Tulum,,,"Excellent service and price.  Pay about $12 USD for just a basic cut.  Would recommend this way more than other locations.  They use high-end equipment and every barber I’ve seen there is committed to doing an excellent job.  Best fades I’ve found.  Lot of hipsters also satisfied with intricate cuts here.  Go-to for all types of hair from all ethnicities.  (Many black men also seem to like “The Hustler”, but I don’t have experience there and know that establishment charges more, if that’s important.)","Sunday		10AM–8PM
Monday		9AM–9PM
Tuesday		9AM–9PM
Wednesday	9AM–9PM
Thursday	9AM–9PM
Friday		9AM–9PM
Saturday	10AM–9PM",https://g.page/barberostulum?share,"20.208194668282893, -87.47122928650727",27.png
15,Burro Tulum,,"Restaurant, Bakery",Street tacos,"Sunday		Closed
Monday		5–10:30PM
Tuesday		5–10:30PM
Wednesday	5–10:30PM
Thursday	5–10:30PM
Friday		5–10:30PM
Saturday	5–10:30PM",https://goo.gl/maps/NpNw8D7gZf2FSZ3x7,"20.202552664229383, -87.47316976495847",15.jpg
18,Cancha deportiva,,Soccer field,"Small basketball court, often without nets.  Tiny playground for kids.  Check for sharp edges before you let your child play here.  (Note:  There’s a massive park on the other side of the main road with a tennis court, baseball fiend, multiple soccer fields, basketball courts with overhead protection from sun / rain:  https://goo.gl/maps/bamB7uWP5Vpxud1W9)",,https://goo.gl/maps/FjVUhWXV3mZWDmd29,"20.20255231264703, -87.47248712937635",18.jpg
21,Canova,,"Restaurant, Bakery, Cafe","A date spot at night to get Italian food.  Good service.  The manager is in the trenches here, really making sure everything runs smoothly.  Can sit inside or underneath the open-air palapa.","Sunday		6–11PM
Monday		Closed
Tuesday		6–11PM
Wednesday	6–11PM
Thursday	6–11PM
Friday		6–11PM
Saturday	6–11PM",https://goo.gl/maps/EjFZfKsD8Y56xgB46,"20.20325428986398, -87.47231848946733",21.jpg
45,Casa Atica,1,,"World-class home furnishings.  Same team behind Terreo Studio, quite possibly the best home-builder in Tulum.  https://www.instagram.com/terreostudio/","Sunday       Closed
Monday		10AM–7PM
Tuesday		10AM–7PM
Wednesday	10AM–7PM
Thursday	10AM–7PM
Friday		10AM–7PM
Saturday	10AM–2PM",https://g.page/CasaAtica?share,"20.205323146428153, -87.47968287116424",45.jpg
8,Chiquilin Stew Tacos,,"Restaurant, Bakery", “Bowls Royce” - the Rolls Royce of bowl food.,"Sunday		Closed
Monday		9AM–1PM
Tuesday		9AM–1PM
Wednesday	9AM–1PM
Thursday	9AM–1PM
Friday		9AM–1PM
Saturday	9AM–1PM",https://goo.gl/maps/wMFHETyKe7PnaZCU8,"20.202371967201852, -87.47573837509401",8.jpg
9,Chultun fresh market,1,Convenience store,You can grab fresh juices here in the morning. He has about 6 - 8 different ones in the fridge. Cost about 30 - 45 pesos.  It’s also a small tienda (convenience store).,"Sunday		8:30AM–5PM
Monday		8:30AM–6PM
Tuesday		8:30AM–6PM
Wednesday	8:30AM–6PM
Thursday	8:30AM–6PM
Friday		8:30AM–6PM
Saturday	8:30AM–6PM",https://goo.gl/maps/WUxcZg6ksbBc5oe2A,"20.202192612706924, -87.47559219816529",9.jpg
24,Clean Club,,,"Well-run laundry service.  Drop it and pick it up the next day.  (Note:  It’s right next to Kukuruxo Gelato, which is the pin I’m using for the map.)","Sunday		Closed
Monday		9AM–6PM
Tuesday		9AM–6PM
Wednesday	9AM–6PM
Thursday	9AM–6PM
Friday		9AM–6PM
Saturday	9AM–6PM",https://goo.gl/maps/ifP5k2tqxs6VhoBY7,"20.20338621500445, -87.4715126938371",24.png
